sigel,archivname
"Gros5sn0","Stadtarchiv Großenhain"
"Grow8e10","Pfarrarchiv Großwechsungen"
"Grro8e10","Pfarrarchiv Groß-Rohrheim"
"Gues5mv0","Stadtarchiv o[Güstrow]o"
"Guet5nw0","Stadtarchiv Gütersloh"
"Gunz5ba0","Stadtarchiv Gunzenhausen"
"Hain8e10","Pfarrarchiv Hainrode in der Kirchengemeinde Hainrode-Mooskammen"
"Halb5sa0","Stadtarchiv Halberstadt"
"Hald4sa0","Stadt- und Kreisarchiv Haldensleben"
"Hall5sa0","Stadtarchiv Halle"
"Hall8e10","Pfarrarchiv Halle, ev. ref."
"Hall8e20","Pfarrarchiv Halle, St. Laurentius I"
"Hamb3hh0","Staatsarchiv Hamburg"
"Hamb6e10","Kirchenkreisarchiv Alt-Hamburg"
"Hann2ns0","Niedersächsisches Hauptstaatsarchiv Hannover"
"Hann5ns0","Stadtarchiv Hann.Münden"
"Hann7e10","Landeskirchliches Archiv Hannover "
"Hasl5bw0","Stadtarchiv Haslach"
"Hass8k10","Archiv der katholischen Kirchengemeinde Hassel"
"Hatt8e10","Pfarrarchiv Hattingen"
"Haus8e10","Pfarrarchiv Hausneindorf"
"Hech5bw0","Stadtarchiv Hechingen"
"Heer8e10","Pfarrarchiv Heeren"
"Heid5bw0","Stadtarchiv Heidelberg"
"Heil5th0","Stadtarchiv Heiligenstadt"
"Heim8e10","Pfarrarchiv Heimsen"
"Helm5ns0","Stadtarchiv Helmstedt"
"Hepp8k10","Pfarrarchiv Heppdiel"
"Hers5he0","Stadtarchiv Bad Hersfeld"
"Hilb8e10","Pfarrarchiv Hilbeck"
"Hild4th0","Kreisarchiv Hildburghausen"
"Hild5ns0","Stadtarchiv Hildesheim"
"Hild7k10","Bistumsarchiv Hildesheim"
"Hill8e10","Pfarrarchiv Hille"
"Hirz8e10","Pfarrarchiv Hirzenhain"
"Hoer5sn0","Stadtarchiv Hohenstein-Ernstthal"
"Hofx5ba0","Stadtarchiv Hof"
"Hohe8e10","Pfarrarchiv Hohenlohe"
"Horb5bw0","Stadtarchiv Horb"
"Horn8k10","Archiv der katholischen Kirchengemeinde Hornbach"
"Ibbe8e10","Pfarrarchiv Ibbenbüren"
"Ilbe8e10","Pfarrarchiv Ilbeshausen Hochwaldhausen"
"Ilme5th0","Stadtarchiv Ilmenau"
"Imme5ba0","Stadtarchiv Immenstadt"
"Inge5rp0","Stadtarchiv Ingelheim"
"Ingo5ba0","Stadtarchiv Ingolstadt"
"Isny5bw0","Stadtarchiv Isny"
"Jena5th0","Stadtarchiv Jena"
"Juge8e10","Pfarrarchiv Jugenheim Rhh."
"Kais5rp0","Stadtarchiv Kaiserslautern"
"Kais8k10","Archiv der katholischen Kirchengemeinde Kaiserslautern"
"Kame5sn0","Stadtarchiv Kamenz"
"Kamm8e10","Pfarrarchiv Kammerforst"
"Kann8e10","Pfarrarchiv Kannawurf"
"Karl3bw0","Generallandesarchiv Karlsruhe"
"Karl5ba0","Stadtarchiv Karlstadt"
"Karl5bw0","Stadtarchiv Karlsruhe"
"Karl7e10","Landeskirchliches Archiv Karlsruhe"
"Kass7e10","Landeskirchliches Archiv Kassel"
"Kauf5ba0","Stadtarchiv Kaufbeuren"
"Kemp5ba0","Stadtarchiv Kempten"
"Keve5nw0","Stadtarchiv Kevelaer"
"Kibr8e10","Pfarrarchiv Kirch-Brombach"
"Kiel5sh0","Stadtarchiv Kiel"
"Kiel6e10","Nordelbische Evangelisch-Lutherische Kirche / Nordelbisches Kirchenarchiv"
"Kier8e10","Pfarrarchiv Kierspe"
"Kirc5bw0","Stadtarchiv Kirchheim"
"Kitz5ba0","Stadtarchiv Kitzingen"
"Kitz8k10","Pfarrarchiv Kitzingen St. Johannes"
"Klei8k10","Pfarrarchiv Kleinwallstadt"
"Klet8e10","Pfarrarchiv Klettenberg und Branderode"
"Klev5nw0","Stadtarchiv Kleve"
"Klob8e10","Pfarrarchiv Klobikau"
"Kobl1rp0","Bundesarchiv"
"Kobl2rp0","Landeshauptarchiv Koblenz"
"Kobl5rp0","Stadtarchiv Koblenz"
"Koeb8e10","Pfarrarchiv Königsberg"
"Koel5nw0","Historisches Archiv der Stadt Köln"
"Koel7k10","Historisches Archiv des Erzbistums Köln"
"Koet5sa0","Stadtarchiv o[Köthen]o"
"Kola8e10","Pfarrarchiv Kölleda"
"Koll8e10","Pfarrarchiv Kollenbey, St. Nicolai"
"Kons4bw0","Kreisarchiv Konstanz"
"Kons5bw0","Stadtarchiv Konstanz"
"Korn5bw0","Stadtarchiv Kornwestheim"
"Kref5nw0","Stadtarchiv Krefeld"
"Krom8e10","Pfarrarchiv Krombach"
"Kron5ba0","Stadtarchiv Kronach"
